b8:27:eb:9f:6b:77,ea:9e:b4:53:24:54,38:17:c3:1f:0e:02,38:17:c3:1f:0e:00,38:17:c3:1f:0e:01,38:17:c3:1f:0e:12,38:17:c3:1f:0e:11,38:17:c3:1f:0e:10,80:8d:b7:55:35:01,80:8d:b7:55:35:00,80:8d:b7:55:35:02,80:8d:b7:55:35:11,80:8d:b7:55:35:12,80:8d:b7:55:39:d2,80:8d:b7:55:35:10,80:8d:b7:55:39:d1,80:8d:b7:55:35:03,80:8d:b7:55:39:c2,80:8d:b7:55:39:c1,80:8d:b7:55:39:d0,38:17:c3:1f:01:91,38:17:c3:1f:01:90,80:8d:b7:55:25:e3,38:17:c3:1f:01:92,38:17:c3:1f:01:81,80:8d:b7:55:25:e1,00:4e:35:df:06:40,80:8d:b7:55:25:f2,80:8d:b7:55:25:f0,80:8d:b7:55:25:f3,44:48:c1:a5:82:21,80:8d:b7:55:25:f1,00:4e:35:df:06:42,00:4e:35:df:06:41,44:48:c1:a5:82:22,80:8d:b7:55:3a:51,38:17:c3:19:d7:72,44:48:c1:a5:82:20,80:8d:b7:55:3a:50,80:8d:b7:55:3a:52,44:48:c1:a5:82:31,38:17:c3:19:d7:71,38:17:c3:19:d7:70,20:a6:cd:50:24:a2,38:17:c3:19:d7:61,44:48:c1:a5:82:30,38:17:c3:19:d7:60,44:48:c1:a5:82:32,38:17:c3:1e:ff:11,38:17:c3:1e:ff:10,00:4e:35:df:06:52,00:4e:35:df:06:51,38:17:c3:1e:ff:12,20:a6:cd:50:24:b0,ac:e2:d3:c4:08:e6,80:8d:b7:55:35:13,b0:be:76:f8:30:5e,38:17:c3:1f:01:82,80:8d:b7:55:39:c0,80:8d:b7:55:25:e0,80:8d:b7:55:25:e2,20:a6:cd:50:24:b2,00:4e:35:df:06:50,38:17:c3:19:45:b0,80:8d:b7:55:3a:41,38:17:c3:19:d7:62,80:8d:b7:55:3a:40,20:a6:cd:50:24:a1,20:a6:cd:50:24:a0,66:2a:2f:53:7c:99,38:17:c3:1f:01:80,80:8d:b7:55:3a:42,20:a6:cd:50:24:b1,38:17:c3:19:45:b2,72:32:b1:3e:1a:b7,72:32:b1:3e:1a:b8,60:32:b1:3e:1a:b8,38:17:c3:19:55:50,38:17:c3:1e:ff:02,38:17:c3:1e:ff:01,38:17:c3:1e:ff:00,38:17:c3:19:45:a1,38:17:c3:19:55:51,b4:5d:50:e1:92:31,b4:5d:50:e1:92:33,68:ff:7b:e4:af:39,38:17:c3:1f:09:83,38:17:c3:19:45:b1,38:17:c3:19:45:a0,00:4e:35:de:e1:12,b4:5d:50:e1:92:23,38:17:c3:1f:22:31,38:17:c3:1f:22:30,38:17:c3:19:45:a2,60:32:b1:3e:1a:b7,38:17:c3:19:55:52,b4:5d:50:e1:92:22,b4:5d:50:e1:92:21,38:17:c3:1f:08:50,b4:5d:50:e1:92:32,b4:5d:50:e1:92:30,00:4e:35:de:e1:11,00:4e:35:de:e1:01,00:4e:35:de:e1:00,00:4e:35:de:e1:10,00:4e:35:de:e1:02,b4:5d:50:e1:92:20,44:48:c1:91:95:b3,44:48:c1:91:95:b2,38:17:c3:1f:08:51,38:17:c3:1f:08:52,00:4e:35:de:d7:52,38:17:c3:1f:22:20,00:4e:35:de:d7:53,00:4e:35:de:d7:51,00:4e:35:de:d7:50,68:ff:7b:e4:af:38,00:4e:35:df:0e:12,38:17:c3:19:71:91,38:17:c3:19:71:90,38:17:c3:19:55:42,38:17:c3:19:55:41,38:17:c3:19:55:40,00:4e:35:de:d7:41,38:17:c3:19:71:92,38:17:c3:1f:22:32,38:17:c3:1f:08:41,a8:bd:27:4c:bd:22,a8:bd:27:4c:bd:21,a8:bd:27:4c:bd:20,38:17:c3:1f:22:21,38:17:c3:1f:08:40,38:17:c3:1f:08:42,a8:bd:27:4c:bd:30,a8:bd:27:4c:bd:32,a8:bd:27:4c:bd:31,38:17:c3:1e:fc:a1,38:17:c3:1e:fc:a2,00:4e:35:df:0e:11,00:4e:35:df:0e:10,38:17:c3:1e:fc:b2,38:17:c3:1e:fc:b1,38:17:c3:1e:fc:b0,00:4e:35:df:0e:01,00:4e:35:df:0e:02,38:17:c3:1e:fc:a0,64:e5:99:c3:13:3c,38:17:c3:24:58:b0,38:17:c3:24:58:a2,38:17:c3:24:58:a0,38:17:c3:24:58:a1,38:17:c3:24:58:b2,38:17:c3:24:58:b1,38:17:c3:24:4f:10,38:17:c3:24:4f:01,38:17:c3:24:4f:11,38:17:c3:24:4f:12,38:17:c3:1b:08:b0,38:17:c3:19:71:82,38:17:c3:19:71:80,38:17:c3:19:71:81,00:4e:35:df:0e:00,00:4e:35:de:d7:43,00:4e:35:de:d7:42,00:4e:35:de:d7:40,x,y,label
-33,-72,-76,-75,-76,-78,-79,-79,-100,-100,-100,-76,-77,-68,-78,-68,-77,-69,-69,-68,-100,-100,-100,-100,-100,-80,-100,-79,-79,-80,-70,-80,-74,-75,-70,-69,-87,-71,-70,-69,-71,-87,-88,-100,-100,-71,-100,-71,-100,-100,-78,-77,-100,-100,-100,-76,-74,-100,-68,-100,-80,-100,-78,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-84,-89,-90,-80,-100,-100,-100,-86,-100,-85,-87,-100,-100,-83,-100,-100,-88,-100,-100,-85,-100,-100,-85,-100,-100,-100,-100,-100,-100,-83,-100,-82,-82,-81,-90,-100,-100,-100,-81,-82,-81,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-40,-63,-76,-75,-76,-80,-79,-100,-100,-100,-75,-76,-75,-74,-75,-72,-76,-70,-69,-73,-100,-100,-100,-100,-100,-100,-76,-82,-82,-81,-70,-81,-76,-75,-70,-71,-87,-71,-72,-72,-73,-89,-88,-100,-100,-73,-100,-73,-100,-100,-76,-76,-100,-100,-87,-76,-68,-100,-68,-100,-100,-100,-76,-100,-74,-100,-100,-100,-100,-84,-100,-75,-100,-100,-100,-100,-90,-100,-100,-100,-100,-100,-100,-89,-90,-80,-100,-100,-100,-82,-100,-85,-87,-100,-100,-82,-100,-100,-100,-100,-100,-81,-83,-83,-81,-85,-100,-100,-100,-100,-100,-83,-100,-82,-82,-82,-89,-100,-100,-100,-81,-82,-81,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-40,-68,-100,-76,-100,-79,-79,-80,-77,-78,-76,-80,-79,-71,-78,-71,-76,-70,-70,-72,-100,-100,-100,-100,-100,-100,-75,-80,-81,-78,-68,-77,-76,-75,-70,-70,-87,-69,-68,-68,-73,-87,-88,-100,-100,-74,-100,-73,-100,-100,-76,-76,-100,-100,-100,-78,-68,-100,-70,-100,-100,-100,-76,-100,-74,-100,-100,-100,-100,-84,-100,-75,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-86,-100,-100,-100,-100,-100,-100,-83,-100,-88,-100,-100,-100,-84,-100,-100,-91,-100,-100,-83,-83,-83,-81,-85,-100,-100,-100,-100,-100,-84,-100,-85,-84,-84,-89,-100,-89,-90,-100,-100,-100,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-40,-73,-77,-76,-77,-77,-79,-79,-77,-78,-76,-76,-75,-75,-75,-74,-76,-66,-66,-75,-100,-100,-100,-100,-100,-100,-75,-80,-81,-80,-72,-77,-75,-72,-73,-68,-87,-71,-68,-68,-72,-87,-88,-100,-100,-71,-100,-71,-100,-100,-76,-76,-100,-100,-100,-77,-71,-100,-66,-100,-100,-100,-76,-100,-76,-100,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-83,-87,-89,-84,-100,-100,-100,-83,-100,-88,-100,-100,-89,-82,-100,-100,-88,-90,-87,-83,-100,-100,-82,-100,-100,-100,-100,-89,-89,-85,-100,-86,-84,-85,-100,-100,-89,-90,-100,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,487.1999999999998,16
-29,-100,-100,-100,-100,-100,-80,-100,-80,-80,-80,-76,-75,-74,-75,-74,-75,-71,-70,-74,-100,-100,-100,-100,-100,-100,-79,-79,-79,-79,-100,-78,-100,-100,-69,-67,-100,-70,-67,-67,-78,-91,-91,-100,-100,-77,-87,-78,-100,-100,-78,-78,-100,-100,-84,-75,-68,-100,-70,-83,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-89,-100,-100,-82,-100,-100,-100,-100,-100,-81,-100,-100,-81,-81,-100,-100,-100,-100,-100,-81,-100,-81,-81,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
-46,-64,-100,-100,-100,-80,-80,-83,-80,-80,-80,-76,-75,-73,-75,-72,-75,-68,-70,-74,-100,-100,-75,-100,-100,-79,-79,-79,-79,-79,-100,-79,-80,-79,-69,-63,-100,-70,-63,-63,-77,-91,-89,-100,-100,-77,-87,-76,-100,-100,-78,-77,-100,-100,-100,-75,-64,-100,-68,-83,-100,-100,-79,-100,-100,-100,-100,-100,-100,-83,-100,-69,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-89,-100,-100,-82,-100,-100,-100,-100,-100,-80,-100,-100,-81,-81,-100,-100,-100,-100,-100,-83,-100,-83,-82,-82,-100,-100,-100,-100,-100,-77,-79,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
-33,-67,-100,-100,-100,-78,-78,-79,-100,-80,-78,-76,-75,-70,-75,-69,-100,-68,-69,-70,-100,-100,-75,-100,-100,-77,-100,-77,-79,-79,-71,-78,-80,-79,-71,-62,-90,-72,-61,-61,-76,-89,-88,-100,-100,-76,-100,-76,-100,-100,-77,-77,-100,-100,-100,-75,-64,-100,-68,-100,-100,-100,-78,-100,-70,-100,-100,-100,-100,-83,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-81,-100,-81,-81,-100,-100,-100,-100,-100,-83,-100,-83,-82,-83,-84,-100,-100,-100,-100,-77,-79,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
-30,-70,-100,-100,-100,-79,-78,-79,-100,-79,-78,-76,-75,-71,-75,-72,-100,-68,-66,-71,-100,-100,-80,-100,-100,-80,-100,-77,-77,-79,-69,-76,-100,-100,-69,-64,-90,-69,-63,-63,-73,-89,-89,-100,-100,-73,-100,-74,-100,-100,-76,-77,-100,-100,-100,-75,-63,-100,-100,-100,-81,-100,-76,-100,-68,-100,-100,-100,-100,-86,-100,-70,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-84,-81,-100,-85,-80,-100,-100,-100,-100,-100,-87,-100,-86,-82,-83,-84,-100,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
-45,-65,-100,-100,-100,-79,-79,-79,-82,-81,-81,-75,-75,-71,-74,-71,-100,-100,-67,-71,-100,-100,-79,-100,-100,-80,-80,-79,-79,-79,-70,-79,-82,-81,-70,-64,-87,-69,-63,-63,-73,-89,-87,-100,-100,-73,-100,-74,-100,-100,-80,-80,-100,-100,-100,-75,-63,-100,-69,-100,-81,-100,-80,-100,-68,-100,-70,-100,-100,-86,-100,-69,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-81,-100,-100,-90,-100,-100,-82,-100,-100,-91,-100,-100,-81,-100,-100,-81,-80,-100,-100,-100,-91,-100,-87,-100,-88,-100,-89,-84,-100,-100,-91,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
-34,-63,-100,-76,-100,-79,-79,-79,-82,-81,-81,-75,-76,-71,-74,-71,-78,-66,-67,-71,-100,-100,-78,-100,-100,-100,-80,-79,-78,-76,-70,-78,-82,-81,-70,-66,-89,-70,-67,-65,-74,-89,-88,-100,-100,-75,-100,-75,-100,-100,-77,-78,-100,-100,-100,-74,-68,-100,-69,-79,-100,-100,-78,-100,-100,-100,-70,-100,-100,-87,-100,-69,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-81,-100,-100,-88,-100,-100,-83,-100,-100,-91,-100,-100,-81,-100,-81,-81,-81,-100,-100,-100,-91,-100,-83,-100,-84,-83,-84,-100,-100,-100,-90,-100,-100,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,501.3999999999998,17
-49,-68,-100,-84,-83,-80,-79,-79,-76,-77,-76,-80,-81,-74,-81,-74,-73,-70,-71,-75,-100,-100,-100,-100,-100,-79,-79,-82,-81,-81,-100,-81,-79,-78,-100,-68,-85,-74,-67,-68,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-74,-74,-100,-100,-100,-100,-72,-100,-70,-81,-79,-100,-74,-100,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-85,-100,-100,-100,-100,-100,-100,-81,-100,-100,-89,-100,-100,-84,-100,-100,-88,-100,-100,-81,-82,-83,-82,-84,-100,-100,-100,-87,-88,-87,-100,-87,-86,-86,-100,-100,-87,-88,-100,-100,-100,-100,-87,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,515.5999999999998,18
-52,-75,-82,-82,-81,-76,-79,-79,-77,-79,-79,-80,-78,-75,-80,-74,-73,-70,-70,-75,-100,-100,-100,-100,-100,-79,-79,-80,-80,-80,-78,-79,-78,-78,-75,-68,-88,-77,-67,-67,-77,-86,-100,-100,-100,-76,-100,-76,-100,-100,-74,-76,-100,-100,-100,-80,-70,-100,-70,-80,-79,-100,-74,-100,-65,-100,-100,-100,-100,-83,-100,-65,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-85,-100,-100,-84,-100,-100,-100,-82,-100,-100,-89,-100,-100,-84,-100,-100,-89,-100,-100,-82,-81,-81,-84,-80,-100,-100,-100,-87,-88,-87,-100,-89,-86,-86,-100,-100,-87,-89,-76,-78,-76,-100,-87,-100,-100,-89,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,515.5999999999998,18
-33,-100,-82,-82,-81,-75,-100,-100,-78,-79,-79,-76,-75,-74,-76,-74,-73,-100,-70,-75,-100,-100,-100,-100,-100,-100,-100,-77,-77,-77,-77,-77,-78,-100,-76,-66,-88,-77,-65,-64,-77,-86,-88,-100,-100,-76,-100,-77,-100,-100,-74,-75,-100,-100,-100,-76,-70,-100,-70,-80,-79,-100,-74,-100,-65,-100,-100,-100,-100,-100,-100,-65,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-84,-100,-100,-84,-100,-100,-100,-81,-100,-100,-87,-100,-100,-84,-100,-100,-89,-100,-100,-81,-81,-81,-80,-80,-100,-100,-100,-100,-100,-88,-100,-88,-88,-89,-88,-100,-100,-89,-76,-76,-76,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,515.5999999999998,18
-33,-69,-100,-100,-100,-75,-74,-75,-78,-78,-77,-74,-74,-70,-74,-70,-73,-73,-100,-70,-100,-100,-75,-100,-100,-100,-78,-81,-80,-81,-77,-81,-80,-79,-75,-63,-88,-73,-63,-63,-76,-86,-87,-100,-100,-76,-100,-77,-100,-100,-77,-76,-100,-100,-100,-74,-69,-100,-70,-100,-100,-100,-74,-100,-100,-100,-100,-100,-100,-100,-100,-67,-100,-100,-100,-100,-100,-83,-100,-100,-100,-100,-81,-100,-100,-100,-100,-100,-100,-79,-100,-100,-87,-100,-100,-82,-100,-100,-100,-100,-100,-78,-85,-85,-80,-85,-100,-100,-100,-100,-100,-86,-100,-86,-86,-85,-88,-100,-100,-100,-76,-76,-77,-100,-100,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,515.5999999999998,18
-31,-69,-100,-100,-100,-75,-75,-74,-78,-79,-77,-76,-75,-70,-76,-70,-100,-73,-100,-69,-100,-100,-75,-100,-100,-100,-78,-80,-80,-80,-75,-80,-80,-79,-74,-63,-88,-73,-63,-63,-78,-86,-87,-100,-100,-78,-100,-79,-100,-100,-77,-76,-100,-100,-100,-76,-69,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-100,-100,-90,-100,-67,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-80,-100,-100,-100,-100,-100,-100,-79,-100,-100,-87,-100,-100,-80,-100,-100,-100,-100,-100,-79,-85,-85,-80,-85,-100,-100,-100,-100,-100,-84,-100,-85,-85,-85,-89,-100,-89,-89,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,515.5999999999998,18
-38,-71,-100,-83,-100,-75,-75,-74,-77,-77,-77,-77,-78,-76,-78,-76,-74,-71,-71,-77,-100,-100,-78,-100,-100,-100,-100,-79,-77,-79,-75,-79,-72,-73,-74,-62,-87,-78,-62,-62,-74,-86,-86,-100,-100,-74,-100,-75,-100,-100,-75,-74,-100,-100,-100,-79,-72,-100,-72,-81,-80,-100,-76,-100,-66,-100,-66,-100,-100,-90,-100,-66,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-82,-100,-100,-100,-100,-100,-100,-79,-100,-100,-87,-100,-100,-82,-100,-100,-87,-100,-100,-79,-83,-82,-80,-83,-100,-100,-100,-100,-100,-84,-100,-84,-84,-84,-89,-100,-89,-87,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,515.5999999999998,18
-32,-76,-100,-100,-100,-100,-100,-100,-80,-81,-81,-75,-74,-69,-76,-69,-80,-68,-100,-69,-100,-100,-100,-100,-100,-78,-73,-74,-73,-73,-73,-73,-72,-72,-74,-61,-89,-75,-62,-61,-76,-88,-87,-100,-100,-75,-100,-77,-100,-100,-81,-80,-100,-100,-100,-75,-74,-100,-68,-100,-78,-100,-81,-100,-100,-100,-100,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-76,-92,-92,-83,-100,-100,-100,-81,-100,-100,-85,-100,-100,-77,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-90,-100,-100,-100,-100,-86,-100,-87,-88,-87,-89,-100,-100,-100,-76,-100,-100,-100,-100,-85,-100,-100,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,529.7999999999998,19
-30,-68,-100,-100,-100,-83,-83,-100,-80,-81,-81,-79,-77,-69,-79,-68,-73,-65,-64,-68,-100,-100,-100,-100,-100,-78,-71,-71,-71,-70,-71,-71,-72,-72,-70,-66,-89,-71,-67,-67,-74,-88,-91,-100,-100,-74,-100,-74,-100,-90,-76,-76,-100,-100,-100,-75,-69,-100,-68,-100,-78,-100,-76,-100,-66,-100,-100,-100,-100,-87,-100,-66,-100,-100,-100,-100,-100,-77,-100,-100,-100,-100,-76,-92,-92,-83,-100,-100,-100,-81,-100,-83,-83,-100,-100,-77,-100,-100,-89,-100,-100,-81,-100,-100,-82,-100,-90,-100,-100,-100,-100,-86,-100,-87,-88,-87,-87,-100,-100,-100,-76,-100,-100,-100,-100,-83,-100,-100,-84,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,529.7999999999998,19
-28,-71,-100,-100,-100,-82,-82,-82,-77,-74,-77,-75,-75,-68,-75,-68,-75,-65,-64,-68,-100,-100,-79,-100,-100,-78,-71,-71,-71,-71,-71,-71,-72,-100,-70,-67,-90,-71,-67,-68,-72,-100,-91,-100,-100,-73,-100,-74,-100,-90,-74,-74,-100,-100,-91,-75,-67,-100,-100,-78,-78,-100,-74,-100,-66,-100,-65,-100,-100,-87,-100,-66,-100,-100,-100,-100,-92,-79,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-81,-100,-81,-82,-100,-100,-78,-100,-100,-89,-100,-100,-82,-100,-100,-82,-100,-100,-100,-100,-100,-100,-88,-100,-88,-87,-88,-87,-100,-100,-100,-100,-100,-100,-100,-100,-82,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,529.7999999999998,19
-28,-75,-100,-100,-100,-82,-82,-82,-77,-74,-77,-76,-76,-69,-77,-68,-72,-68,-68,-68,-100,-100,-79,-100,-100,-78,-100,-72,-71,-71,-100,-71,-73,-73,-100,-62,-90,-100,-63,-63,-75,-86,-86,-100,-100,-74,-100,-75,-100,-100,-74,-74,-100,-100,-100,-76,-71,-100,-69,-78,-78,-100,-74,-100,-66,-100,-66,-100,-100,-84,-100,-66,-100,-100,-100,-100,-92,-79,-100,-100,-100,-100,-100,-100,-100,-81,-100,-100,-100,-83,-100,-85,-85,-100,-100,-78,-100,-100,-100,-100,-100,-85,-100,-100,-86,-100,-100,-100,-100,-100,-100,-86,-100,-88,-87,-86,-100,-100,-100,-100,-76,-76,-100,-100,-100,-85,-100,-100,-100,-100,-88,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,529.7999999999998,19
-30,-66,-100,-100,-100,-82,-82,-82,-75,-74,-77,-76,-76,-66,-76,-67,-72,-68,-68,-68,-100,-100,-76,-100,-100,-80,-100,-72,-73,-72,-72,-73,-73,-73,-72,-63,-89,-73,-64,-64,-73,-87,-87,-100,-100,-73,-100,-73,-100,-91,-74,-74,-100,-100,-86,-76,-69,-100,-69,-79,-79,-100,-74,-100,-66,-100,-66,-100,-100,-85,-100,-66,-100,-100,-100,-100,-100,-78,-100,-100,-100,-100,-78,-100,-100,-81,-100,-100,-100,-83,-100,-82,-83,-100,-100,-100,-100,-100,-100,-100,-100,-85,-100,-100,-86,-100,-100,-100,-100,-100,-100,-86,-100,-87,-87,-87,-89,-100,-100,-100,-74,-74,-74,-100,-100,-84,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,529.7999999999998,19
-30,-74,-83,-83,-82,-82,-82,-82,-75,-75,-75,-76,-76,-67,-76,-67,-72,-69,-70,-68,-100,-100,-76,-100,-100,-80,-100,-72,-73,-72,-72,-72,-73,-73,-72,-66,-89,-73,-65,-65,-74,-87,-89,-100,-100,-73,-100,-74,-100,-89,-73,-71,-100,-100,-100,-76,-70,-100,-70,-79,-79,-100,-73,-100,-70,-100,-70,-100,-100,-85,-100,-70,-100,-100,-100,-100,-100,-79,-100,-100,-100,-100,-80,-100,-90,-100,-100,-100,-100,-81,-86,-81,-82,-100,-100,-81,-100,-100,-90,-100,-100,-81,-100,-100,-81,-100,-100,-100,-100,-100,-100,-88,-100,-88,-88,-88,-89,-100,-100,-100,-74,-77,-76,-100,-100,-82,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,-100,545.0,529.7999999999998,19
